major,minor,rssi,testid,t_floor,t_x,t_y,bt_floor,bt_x,bt_Y,deployid,watt,proximity
101,140,-60.5818693001,335,2,7.6494341693,19.4796789237,2,7.39437866522,15.6346930664,49,8.74607243773e-07,7
101,194,-62.4767345801,335,2,7.6494341693,19.4796789237,2,7.54479435145,22.7524548591,50,5.65361905415e-07,7
101,147,-68.1969666962,335,2,7.6494341693,19.4796789237,2,11.1547738384,12.5269376135,48,1.5146187555e-07,7
101,119,-70.6273587599,335,2,7.6494341693,19.4796789237,2,9.60041468039,37.2922101962,59,8.65494124595e-08,15
101,126,-71.4143053521,335,2,7.6494341693,19.4796789237,2,11.1045730971,31.92882652,57,7.22053645166e-08,15
101,174,-71.6454225916,335,2,7.6494341693,19.4796789237,1,12.5296199144,15.9174132844,27,6.84632861437e-08,15
101,115,-74.5260777373,335,2,7.6494341693,19.4796789237,2,7.59493346216,36.386477457,51,3.52689253036e-08,15
101,161,-76.1766518887,335,2,7.6494341693,19.4796789237,1,8.01889153388,26.7331959193,29,2.4117640161e-08,15
101,202,-77.077174818,335,2,7.6494341693,19.4796789237,2,7.59427545994,50.3348724107,53,1.96011936e-08,15
101,155,-78.1821465819,335,2,7.6494341693,19.4796789237,2,7.74469114617,43.1168603772,52,1.51979615632e-08,15
101,138,-78.6872899286,335,2,7.6494341693,19.4796789237,2,18.5752876093,15.4843176138,47,1.35291654275e-08,15
101,144,-80.2911437273,335,2,7.6494341693,19.4796789237,1,12.4591398849,24.5489010436,28,9.35159364751e-09,15
101,121,-83.5542080558,335,2,7.6494341693,19.4796789237,1,7.34823813414,47.4912410236,33,4.41142799007e-09,15
101,183,-84.3909984993,335,2,7.6494341693,19.4796789237,1,7.455050292,42.9744854671,32,3.63831376958e-09,15
101,168,-88.548606312,335,2,7.6494341693,19.4796789237,1,9.71041452799,37.0909813036,31,1.39681653947e-09,15
101,122,-89.0821888898,335,2,7.6494341693,19.4796789237,1,6.08068802502,33.1099279758,30,1.23532465991e-09,15
101,175,-89.2292509378,335,2,7.6494341693,19.4796789237,2,11.0037002414,53.292252411,54,1.19419405885e-09,15
101,152,-90.1659362983,335,2,7.6494341693,19.4796789237,2,24.5919195389,12.6271879458,46,9.6251248191e-10,15
101,158,-90.4130543187,335,2,7.6494341693,19.4796789237,1,7.27711189817,59.4115905683,34,9.09273571194e-10,15
101,193,-91.6066308629,335,2,7.6494341693,19.4796789237,1,10.3077574646,65.330325374,35,6.90775480647e-10,15
101,148,-92.578446551,335,2,7.6494341693,19.4796789237,2,28.2520373136,15.4843176138,45,5.52274949864e-10,15
101,191,-93.5470024719,335,2,7.6494341693,19.4796789237,2,18.0732435291,50.3849976226,55,4.41875327284e-10,15
101,160,-93.6977313842,335,2,7.6494341693,19.4796789237,1,27.8590484144,28.7765687751,24,4.26802408541e-10,15
101,176,-93.8537383564,335,2,7.6494341693,19.4796789237,0,7.40582137501,13.2212238634,10,4.11742942978e-10,15
101,181,-94.5019935212,335,2,7.6494341693,19.4796789237,2,25.9957380122,37.1919604126,58,3.54650558318e-10,15
101,197,-94.9452498653,335,2,7.6494341693,19.4796789237,0,9.02954197705,21.6862928396,8,3.20239584396e-10,15
101,201,-95.0,335,2,7.6494341693,19.4796789237,1,22.8197192182,15.8821826423,26,3.16227766017e-10,15
101,163,-95.2882705222,335,2,7.6494341693,19.4796789237,2,28.2012726619,22.9166535704,44,2.95919066152e-10,15
101,179,-95.5548953255,335,2,7.6494341693,19.4796789237,0,13.2226465783,22.6178422904,7,2.782982449e-10,15
101,145,-95.8164486638,335,2,7.6494341693,19.4796789237,2,28.0508562441,35.899050609,43,2.6203248385e-10,15
101,156,-97.0,335,2,7.6494341693,19.4796789237,2,24.3411640007,31.8285761878,56,1.99526231497e-10,15
101,146,-102.0,335,2,7.6494341693,19.4796789237,0,9.42472360737,32.3956255105,15,6.3095734448e-11,15
