testid,duration,top_n_beacons,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"Test12418",10,1,"AM",1,3.594801226538799,56.88285995825111,1,3.0613748056731533,60.484984388136986,3.641406892240715,0
"Test16545",10,1,"AM",1,4.308557968378728,49.750827094942125,1,4.785909894816916,45.72543511051116,4.053596611651847,0
"Test70565",5,1,"AM",1,4.308557968378728,49.51309274392676,1,14.758215294339507,38.00851273401269,15.541901409882906,0
"Test50294",5,1,"AM",1,7.877342455798169,41.19239045838931,1,14.758215294339507,38.00851273401269,7.581786622159555,0
"Test40075",10,1,"AM",1,7.639423541851525,40.716921756358595,1,14.758215294339507,38.00851273401269,7.616605244307704,0
"Test79839",5,1,"AM",1,5.260234013275198,37.3886377316792,1,14.758215294339507,38.00851273401269,9.518187507817125,0
"Test84117",5,1,"AM",1,5.260234013275198,31.445280511527507,1,14.758215294339507,38.00851273401269,11.545027744519102,0
"Test8205",10,1,"AM",1,5.260234013275198,31.68301330731065,1,11.90898430589146,23.099117922967853,10.857676566508433,0
"Test70869",10,1,"AM",1,1.6914495258557574,62.58848554904381,1,3.0613748056731533,60.484984388136986,2.5102614218879924,0
"Test79992",10,1,"AM",1,1.2156115034075219,66.39223574850158,1,4.111092279069403,68.50159354115148,3.582345491384157,0
"Test37993",5,1,"AM",1,9.304855939478026,59.497938597036125,1,15.657972351111367,68.35175042784803,10.897342431767013,0
"Test34350",5,1,"AM",1,0.26393565306600075,11.951057507339483,1,0.28712528962081485,15.30727347005014,3.3562960756758877,0
"Test66732",5,1,"AM",1,6.687747886064955,9.335978090938358,1,0.28712528962081485,15.30727347005014,8.753532894021307,0
"Test67062",5,1,"AM",1,6.449828972118311,15.517074327802032,1,11.90898430589146,23.099117922967853,9.342899016753787,0
"Test92679",5,1,"AM",1,14.06323499663068,9.573717107650348,1,11.684045858777258,0.32295952100021436,9.551809089415716,0
"Test85276",5,1,"AM",1,16.44242569253671,14.328404127957462,1,11.90898430589146,23.099117922967853,9.873070002797183,0
"Test44416",5,1,"AM",1,12.635721512950822,13.37746672389604,1,22.70606783925089,0.32295950777469606,16.487329492291632,0
"Test12418",10,2,"AM",1,3.594801226538799,56.88285995825111,1,12.996136278010798,60.67522557423907,10.137412772269055,0
"Test16545",10,2,"AM",1,4.308557968378728,49.750827094942125,1,4.589084952054355,45.375964562742915,4.383847347275065,0
