major,minor,rssi,testid,t_floor,t_x,t_y,bt_floor,bt_x,bt_Y,deployid,watt,proximity
101,202,-54.0079713786,342,2,7.3718902781,52.0094549567,2,7.59427545994,50.3348724107,53,3.97377123899e-06,3
101,175,-60.3131179606,342,2,7.3718902781,52.0094549567,2,11.0037002414,53.292252411,54,9.30439638619e-07,7
101,166,-68.1021122547,342,2,7.3718902781,52.0094549567,2,24.4408774887,53.4428297631,40,1.54806351247e-07,7
101,155,-71.7958439941,342,2,7.3718902781,52.0094549567,2,7.74469114617,43.1168603772,52,6.61326005001e-08,15
101,119,-75.3170688951,342,2,7.3718902781,52.0094549567,2,9.60041468039,37.2922101962,59,2.9396329757e-08,15
101,115,-75.3859695163,342,2,7.3718902781,52.0094549567,2,7.59493346216,36.386477457,51,2.89336383221e-08,15
101,121,-75.7541268552,342,2,7.3718902781,52.0094549567,1,7.34823813414,47.4912410236,33,2.65819792393e-08,15
101,183,-75.9425620924,342,2,7.3718902781,52.0094549567,1,7.455050292,42.9744854671,32,2.54532820954e-08,15
101,191,-76.4098928459,342,2,7.3718902781,52.0094549567,2,18.0732435291,50.3849976226,55,2.28565519697e-08,15
101,170,-76.7637278526,342,2,7.3718902781,52.0094549567,2,28.3516883481,50.5857000951,41,2.10681894382e-08,15
101,158,-80.8846638721,342,2,7.3718902781,52.0094549567,1,7.27711189817,59.4115905683,34,8.15705917308e-09,15
101,193,-81.7292743684,342,2,7.3718902781,52.0094549567,1,10.3077574646,65.330325374,35,6.71541046539e-09,15
101,126,-83.0158840406,342,2,7.3718902781,52.0094549567,2,11.1045730971,31.92882652,57,4.99357521708e-09,15
101,187,-83.1205304,342,2,7.3718902781,52.0094549567,1,11.3297194926,60.0105103876,38,4.87468952321e-09,15
101,168,-84.7148389796,342,2,7.3718902781,52.0094549567,1,9.71041452799,37.0909813036,31,3.37688368652e-09,15
101,178,-86.8634121417,342,2,7.3718902781,52.0094549567,1,24.0513826947,59.7991270833,37,2.05901156441e-09,15
101,195,-89.146562977,342,2,7.3718902781,52.0094549567,2,28.2514109496,43.2173130662,42,1.21714887581e-09,15
101,194,-89.7208940126,342,2,7.3718902781,52.0094549567,2,7.54479435145,22.7524548591,50,1.06637658073e-09,15
101,140,-92.0845222823,342,2,7.3718902781,52.0094549567,2,7.39437866522,15.6346930664,49,6.18796390529e-10,15
101,182,-92.4073076833,342,2,7.3718902781,52.0094549567,1,27.9288969593,51.3350420929,22,5.74472483902e-10,15
101,181,-92.6405985844,342,2,7.3718902781,52.0094549567,2,25.9957380122,37.1919604126,58,5.44427609674e-10,15
101,147,-93.8615180531,342,2,7.3718902781,52.0094549567,2,11.1547738384,12.5269376135,48,4.11006031038e-10,15
101,192,-94.909118794,342,2,7.3718902781,52.0094549567,1,27.7174560478,59.1562272772,21,3.22914926638e-10,15
101,116,-95.3439275556,342,2,7.3718902781,52.0094549567,1,25.0733447227,65.330325374,36,2.92150910699e-10,15
101,174,-95.9235837027,342,2,7.3718902781,52.0094549567,1,12.5296199144,15.9174132844,27,2.55647546888e-10,15
101,156,-96.0,342,2,7.3718902781,52.0094549567,2,24.3411640007,31.8285761878,56,2.51188643151e-10,15
101,145,-96.2459513323,342,2,7.3718902781,52.0094549567,2,28.0508562441,35.899050609,43,2.37358542631e-10,15
101,161,-96.3619444791,342,2,7.3718902781,52.0094549567,1,8.01889153388,26.7331959193,29,2.31102983449e-10,15
101,122,-97.0,342,2,7.3718902781,52.0094549567,1,6.08068802502,33.1099279758,30,1.99526231497e-10,15
