testid,timestamp,interval,loc_alg,floor_alg,bin_strat,top_n,building_true,floor_true,x_true,y_true,building_est,floor_est,x_est,y_est,building_error,floor_error,xy_error
Test3673,2019-01-24 02:07:31,10,2,1,2,3,31,1,15.6973,18.69581,31.0,1,17.640232868015136,20.05922362740248,True,0,2.3735805966935923
Test13139,2019-01-24 02:16:52,10,2,1,2,3,31,1,28.550332,53.800097,31.0,1,23.806433338229052,55.38753106679203,True,0,5.002451541950614
Test23777,2019-01-24 02:23:45,10,2,1,2,3,31,1,10.355779,62.313577,31.0,1,14.93032783639382,48.77134719811858,True,0,14.29400171622759
Test86285,2019-01-24 02:24:35,10,2,1,2,3,31,1,9.0204,43.572864,31.0,1,10.8977888655388,34.69285590420036,True,0,9.076295099539035
Test36167,2019-01-24 02:34:05,10,2,1,2,3,31,1,13.69423,19.690895,31.0,1,17.640232837014903,20.059223611419334,True,0,3.963155858116075
Test42627,2019-02-13 22:41:19,10,2,1,2,3,31,1,15.196533,16.373955,31.0,1,21.65049140997571,16.63754760206936,True,0,6.459338992308879
Test57096,2019-02-13 22:41:46,10,2,1,2,3,31,1,15.196533,16.373955,31.0,1,17.199327220335146,15.842635264165958,True,0,2.072072718486158
Test99148,2019-02-13 22:44:47,10,2,1,2,3,31,1,22.874968,15.931693,31.0,1,17.199327250256243,15.842635282048853,True,0,5.6763394187872995
Test57613,2019-02-13 22:45:12,10,2,1,2,3,31,1,22.874968,15.931693,31.0,1,17.199327250256243,15.842635282048853,True,0,5.6763394187872995
Test71012,2019-02-13 22:47:10,10,2,1,2,3,31,1,17.533447,24.500456,31.0,1,17.640232875426754,20.059223561337564,True,0,4.442516043574648
Test47873,2019-02-13 22:49:32,10,2,1,2,3,31,1,27.048032,27.319857,31.0,1,29.18705457856044,20.491364499100712,True,0,7.155677985098907
Test81299,2019-02-13 22:50:08,10,2,1,2,3,31,1,27.048032,27.319857,31.0,1,29.18705457856044,20.491364499100712,True,0,7.155677985098907
Test44031,2019-02-13 22:52:27,10,2,1,2,3,31,1,28.550332,39.592535,31.0,1,22.90010754605271,36.8186387854363,True,0,6.2944051815207125
Test33107,2019-02-13 22:53:45,10,2,1,2,3,31,1,28.38341,50.151462,31.0,1,23.806433302665383,55.38753105773358,True,0,6.954504645573194
Test63717,2019-02-13 22:56:40,10,2,1,2,3,31,1,28.216488,58.775508,31.0,1,23.806433319334428,55.387531059448236,True,0,5.561202211408142
Test20202,2019-02-13 22:57:36,10,2,1,2,3,31,1,22.708046,61.926601,31.0,1,20.925669643810995,55.46716835955939,True,0,6.700830956791191
Test99541,2019-02-13 22:57:53,10,2,1,2,3,31,1,22.708046,61.926601,31.0,1,16.902675373998076,63.238162112883074,True,0,5.9516821704517335
Test10790,2019-02-13 22:59:49,10,2,1,2,3,31,1,16.364991,63.253377,31.0,1,16.289480450639743,55.42145508222439,True,0,7.832285922334467
Test13099,2019-02-13 23:00:08,10,2,1,2,3,31,1,16.364991,63.253377,31.0,1,16.289480450639743,55.42145508222439,True,0,7.832285922334467
Test50075,2019-02-13 23:00:39,10,2,1,2,3,31,1,9.187322,59.107201,31.0,1,16.289480453820886,55.42145508099129,True,0,8.001585947964871
Test94635,2019-02-13 23:01:00,10,2,1,2,3,31,1,9.187322,59.107201,31.0,1,13.673830171234304,61.77340117539157,True,0,5.218944236702495
Test88339,2019-02-13 23:03:36,10,2,1,2,3,31,1,9.0204,48.658838,31.0,1,8.011254918826967,42.42524765927472,True,0,6.314746418569737
Test50868,2019-02-13 23:04:30,10,2,1,2,3,31,1,10.522703,36.552008,31.0,1,-0.4046599955445978,28.727926657302238,True,0,13.43962465597714
Test7045,2019-02-13 23:04:52,10,2,1,2,3,31,1,10.522703,36.552008,31.0,1,-0.40466004411607476,28.727926711949465,True,0,13.439624663655465
Test5987,2019-02-13 23:07:35,10,2,1,2,3,31,1,9.354245,27.596269,31.0,1,-0.40466004411607476,28.727926711949465,True,0,9.824300323030076
Test2180,2019-03-08 14:38:41,10,2,1,2,3,31,2,9.900766,31.049161,31.0,2,17.981614520133757,30.46262699706091,True,0,8.102106821188652
Test77066,2019-03-08 14:39:07,10,2,1,2,3,31,2,9.900766,31.049161,31.0,2,16.266848966608375,27.388798950941148,True,0,7.343382236267673
Test9473,2019-03-08 14:39:30,10,2,1,2,3,31,2,9.900766,31.049161,31.0,1,-0.4046599955445978,28.727926657302238,True,1,10.56361367257275
Test99439,2019-03-08 14:41:32,10,2,1,2,3,31,2,9.579535,17.638101000000006,31.0,2,3.806809999235707,16.718104383263658,True,0,5.845575053769769
Test15182,2019-03-08 14:41:54,10,2,1,2,3,31,2,9.579535,17.638101000000006,31.0,2,3.8068100414938972,16.718104379599716,True,0,5.845575012614863
Test98549,2019-03-08 14:45:48,10,2,1,2,3,31,2,14.879846,13.310232,31.0,2,20.102332198830588,9.130557334989897,True,0,6.689098773549638
Test27807,2019-03-08 14:46:14,10,2,1,2,3,31,2,14.879846,13.310232,31.0,2,20.446058459978754,9.67804446037022,True,0,6.646465788121124
Test90294,2019-03-08 14:46:36,10,2,1,2,3,31,2,14.879846,13.310232,31.0,2,20.102332199847016,9.130557339803975,True,0,6.689098771335139
Test56086,2019-03-08 14:47:15,10,2,1,2,3,31,2,23.071236,13.791104,31.0,2,22.53292495624711,16.848732658046202,True,0,3.104653248002382
Test75282,2019-03-08 14:47:36,10,2,1,2,3,31,2,23.071236,13.791104,31.0,2,20.44605845917776,9.678044456413488,True,0,4.879427828129605
Test41126,2019-03-08 14:47:58,10,2,1,2,3,31,2,23.071236,13.791104,31.0,2,29.28664620890296,21.10136038305501,True,0,9.595372449828702
Test42325,2019-03-08 14:51:21,10,2,1,2,3,31,2,28.050317,18.599851,31.0,2,23.19324500656659,22.519227612098447,True,0,6.241206724413117
Test70038,2019-03-08 14:51:41,10,2,1,2,3,31,2,28.050317,18.599851,31.0,2,23.19324500903866,22.519227615389376,True,0,6.241206724555936
Test83470,2019-03-08 14:52:03,10,2,1,2,3,31,2,28.050317,18.599851,31.0,2,23.19324500656659,22.519227612098447,True,0,6.241206724413117
Test47600,2019-03-08 14:52:42,10,2,1,2,3,31,2,27.56847,30.461423,31.0,2,22.36687801788795,32.722637058175586,True,0,5.671829349095695
Test42000,2019-03-08 14:53:06,10,2,1,2,3,31,2,27.56847,30.461423,31.0,2,19.38179290771476,31.17091941940217,True,0,8.217363748946035
Test8381,2019-03-08 14:53:29,10,2,1,2,3,31,2,27.56847,30.461423,31.0,2,19.82787624287779,28.887826179138262,True,0,7.8989238930012196
Test69867,2019-03-08 14:57:06,10,2,1,2,3,31,2,28.050317,46.169995,31.0,2,21.942579890605103,43.4270068090876,True,0,6.695404156058424
