testid,timestamp,interval,loc_alg,floor_alg,bin_strat,top_n,building_true,floor_true,x_true,y_true,building_est,floor_est,x_est,y_est,building_error,floor_error,xy_error
Test3673,2019-01-24 02:07:31,10,2,1,7,3,31,1,15.6973,18.69581,31.0,1,17.928837391896728,19.862164359648528,True,0,2.517963785224953
Test97265,2019-01-24 02:09:02,10,2,1,7,3,31,1,12.859617,8.579143,31.0,1,8.870800517190359,9.005249487168319,True,0,4.011511394965843
Test50448,2019-01-24 02:11:31,10,2,1,7,3,31,1,4.0127239999999995,0.6184839999999999,31.0,1,11.953098265093777,9.345675078436257,True,0,11.798873149131696
Test56319,2019-01-24 02:13:13,10,2,1,7,3,31,1,28.717257,9.90592,31.0,1,19.870019711321792,8.29469731583837,True,0,8.99275520517128
Test8527,2019-01-24 02:15:45,10,2,1,7,3,31,1,27.548797999999998,34.119584,31.0,1,28.480015750337728,30.337791871401098,True,0,3.8947552172731856
Test13139,2019-01-24 02:16:52,10,2,1,7,3,31,1,28.550332,53.800096999999994,31.0,1,29.386438945216717,48.12652080751176,True,0,5.734853235768891
Test30022,2019-01-24 02:18:59,10,2,1,7,3,31,1,24.210347,54.795178,31.0,1,28.90756955243194,54.30209531953985,True,0,4.72303189030574
Test37479,2019-01-24 02:19:31,10,2,1,7,3,31,1,18.534983,49.156381,31.0,1,20.087586865973968,45.375320648881015,True,0,4.087419252222771
Test87030,2019-01-24 02:21:11,10,2,1,7,3,31,1,18.368059,56.287802,31.0,1,3.5687361394247628,51.10183861125487,True,0,15.681650850626335
Test6781,2019-01-24 02:21:37,10,2,1,7,3,31,1,17.867292000000003,43.020041,31.0,1,16.989942927179385,49.93333808883768,True,0,6.96874580065242
Test23777,2019-01-24 02:23:45,10,2,1,7,3,31,1,10.355779,62.313577,31.0,1,16.818099273620042,62.60007457473296,True,0,6.468667882892774
Test86285,2019-01-24 02:24:35,10,2,1,7,3,31,1,9.0204,43.572864,31.0,1,6.576396611397665,41.35335222521693,True,0,3.301421675869413
Test18722,2019-01-24 02:27:30,10,2,1,7,3,31,1,13.193462,30.636796999999998,31.0,1,7.659326305941937,29.622606940110032,True,0,5.626298904060034
Test78829,2019-01-24 02:28:25,10,2,1,7,3,31,1,13.360384,38.708017,31.0,1,17.441104507251236,30.549600035892084,True,0,9.122063758741472
Test60907,2019-01-24 02:30:28,10,2,1,7,3,31,1,4.34657,33.732607,31.0,1,7.814510586839859,29.88874380909131,True,0,5.177054775089205
