testid,timestamp,interval,loc_alg,floor_alg,bin_strat,top_n,building_true,floor_true,x_true,y_true,building_est,floor_est,x_est,y_est,building_error,floor_error,xy_error
Test3673,2019-01-24 02:07:31,10,1,1,8,3,31,1,15.6973,18.69581,31.0,1,17.565899388345183,20.148950888796325,True,0,2.367125285407547
Test97265,2019-01-24 02:09:02,10,1,1,8,3,31,1,12.859617,8.579143,31.0,1,9.882364039457583,12.403840231264718,True,0,4.846890147496907
Test50448,2019-01-24 02:11:31,10,1,1,8,3,31,1,4.0127239999999995,0.6184839999999999,31.0,1,13.878903582661621,11.75644121140522,True,0,14.879367943579545
Test56319,2019-01-24 02:13:13,10,1,1,8,3,31,1,28.717257,9.90592,31.0,1,24.42420362240494,8.801463353988918,True,0,4.43284691657612
Test8527,2019-01-24 02:15:45,10,1,1,8,3,31,1,27.548797999999998,34.119584,31.0,1,29.28400590494859,21.2411303605434,True,0,12.99482645582576
Test13139,2019-01-24 02:16:52,10,1,1,8,3,31,1,28.550332,53.800096999999994,31.0,1,28.234421015247417,54.78420330413241,True,0,1.0335690437123752
Test30022,2019-01-24 02:18:59,10,1,1,8,3,31,1,24.210347,54.795178,31.0,1,28.23442101362556,54.78420330386913,True,0,4.024088979022668
Test37479,2019-01-24 02:19:31,10,1,1,8,3,31,1,18.534983,49.156381,31.0,1,19.148995290900725,48.592931285860516,True,0,0.8333586705260984
Test87030,2019-01-24 02:21:11,10,1,1,8,3,31,1,18.368059,56.287802,31.0,1,8.228994208290622,51.21088911464804,True,0,11.339121628059797
Test6781,2019-01-24 02:21:37,10,1,1,8,3,31,1,17.867292000000003,43.020041,31.0,1,14.239473613663941,50.35276527901171,True,0,8.181070320944922
Test23777,2019-01-24 02:23:45,10,1,1,8,3,31,1,10.355779,62.313577,31.0,1,10.857502605892835,52.35545788308842,True,0,9.970750369120172
Test86285,2019-01-24 02:24:35,10,1,1,8,3,31,1,9.0204,43.572864,31.0,1,8.9670655923816,35.77073474657712,True,0,7.802311545058498
Test18722,2019-01-24 02:27:30,10,1,1,8,3,31,1,13.193462,30.636796999999998,31.0,1,7.995387370258964,28.338628898945036,True,0,5.683445827758367
Test78829,2019-01-24 02:28:25,10,1,1,8,3,31,1,13.360384,38.708017,31.0,1,6.2988964446733045,29.466357582723035,True,0,11.630686793090844
Test60907,2019-01-24 02:30:28,10,1,1,8,3,31,1,4.34657,33.732607,31.0,1,7.320011290284815,31.192774472608157,True,0,3.9105117790345894
Test6310,2019-01-24 02:31:43,10,1,1,8,3,31,1,7.017328999999999,22.344445999999998,31.0,1,8.848221966762267,21.925380506194468,True,0,1.8782398525848638
Test36167,2019-01-24 02:34:05,10,1,1,8,3,31,1,13.69423,19.690895,31.0,1,17.56589941828891,20.148950698768036,True,0,3.898671454186345
Test42627,2019-02-13 22:41:19,10,1,1,8,3,31,1,15.196532999999999,16.373955,31.0,1,21.856415779483946,16.455528065382648,True,0,6.660382331477882
Test57096,2019-02-13 22:41:46,10,1,1,8,3,31,1,15.196532999999999,16.373955,31.0,1,17.00398917446768,15.604054778700128,True,0,1.964597712861067
Test99148,2019-02-13 22:44:47,10,1,1,8,3,31,1,22.874968,15.931693,31.0,1,17.003989149514837,15.604054782225564,True,0,5.8801138989470685
Test57613,2019-02-13 22:45:12,10,1,1,8,3,31,1,22.874968,15.931693,31.0,1,17.003989149514837,15.604054782225564,True,0,5.8801138989470685
Test71012,2019-02-13 22:47:10,10,1,1,8,3,31,1,17.533447,24.500456,31.0,1,17.565898542648743,20.148954163577898,True,0,4.35162283924115
Test47873,2019-02-13 22:49:32,10,1,1,8,3,31,1,27.048032,27.319857,31.0,1,29.420623351079282,23.947482510705346,True,0,4.123360209254291
Test81299,2019-02-13 22:50:08,10,1,1,8,3,31,1,27.048032,27.319857,31.0,1,29.24919874665094,26.50734366342085,True,0,2.34634033522012
Test44031,2019-02-13 22:52:27,10,1,1,8,3,31,1,28.550332,39.592535,31.0,1,29.441877753684143,36.20934451272865,True,0,3.498689998281582
Test96257,2019-02-13 22:53:18,10,1,1,8,3,31,1,28.383409999999998,50.151462,31.0,1,29.442490685480212,41.20171342401568,True,0,9.01219459797061
Test33107,2019-02-13 22:53:45,10,1,1,8,3,31,1,28.383409999999998,50.151462,31.0,1,28.643647573036645,49.673175503773834,True,0,0.5445012092661585
Test63717,2019-02-13 22:56:40,10,1,1,8,3,31,1,28.216488000000002,58.775507999999995,31.0,1,27.5666517898128,57.045614432713506,True,0,1.8479228485544628
Test5270,2019-02-13 22:56:59,10,1,1,8,3,31,1,28.216488000000002,58.775507999999995,31.0,1,29.509472394413894,40.57317632611518,True,0,18.2481968153105
Test20202,2019-02-13 22:57:36,10,1,1,8,3,31,1,22.708046,61.926601,31.0,1,19.642798010516646,57.66647693378607,True,0,5.248276126173891
Test99541,2019-02-13 22:57:53,10,1,1,8,3,31,1,22.708046,61.926601,31.0,1,16.90286073187596,63.23889533407422,True,0,5.951662995876672
Test10790,2019-02-13 22:59:49,10,1,1,8,3,31,1,16.364991,63.253377,31.0,1,16.573315121968395,58.203519831475894,True,0,5.054152388114965
Test13099,2019-02-13 23:00:08,10,1,1,8,3,31,1,16.364991,63.253377,31.0,1,16.573315121968395,58.203519831475894,True,0,5.054152388114965
Test50075,2019-02-13 23:00:39,10,1,1,8,3,31,1,9.187322,59.107201,31.0,1,12.340867267979268,57.91446188760297,True,0,3.371568529251052
Test94635,2019-02-13 23:01:00,10,1,1,8,3,31,1,9.187322,59.107201,31.0,1,12.506739582213859,61.1453664930373,True,0,3.8952088085388277
Test88339,2019-02-13 23:03:36,10,1,1,8,3,31,1,9.0204,48.658838,31.0,1,8.009116022608643,42.49358752388408,True,0,6.24764025182117
Test50868,2019-02-13 23:04:30,10,1,1,8,3,31,1,10.522703,36.552008,31.0,1,7.828417931153585,29.871644092493085,True,0,7.2032238594208495
Test7045,2019-02-13 23:04:52,10,1,1,8,3,31,1,10.522703,36.552008,31.0,1,7.8284178734377265,29.871644267423115,True,0,7.203223718776425
Test5987,2019-02-13 23:07:35,10,1,1,8,3,31,1,9.354245,27.596269,31.0,1,8.18208614403716,29.251960418444494,True,0,2.0286129391095913
Test2180,2019-03-08 14:38:41,10,1,1,8,3,31,2,9.900766,31.049160999999998,31.0,2,12.379372089236705,29.688003648717476,True,0,2.827761920769095
Test77066,2019-03-08 14:39:07,10,1,1,8,3,31,2,9.900766,31.049160999999998,31.0,2,8.1424144868435,29.086733846090862,True,0,2.6349421963716146
Test9473,2019-03-08 14:39:30,10,1,1,8,3,31,2,9.900766,31.049160999999998,31.0,1,8.38196909618377,30.350315973983587,True,1,1.6718637520532726
Test68121,2019-03-08 14:40:59,10,1,1,8,3,31,2,9.579535,17.638101000000002,31.0,2,7.919394946462218,30.923628012409512,True,0,13.38884957697349
Test99439,2019-03-08 14:41:32,10,1,1,8,3,31,2,9.579535,17.638101000000002,31.0,2,10.046532933051472,19.53809334163809,True,0,1.9565423501058503
Test15182,2019-03-08 14:41:54,10,1,1,8,3,31,2,9.579535,17.638101000000002,31.0,2,10.04653294758415,19.538093334069973,True,0,1.956542346225214
Test98549,2019-03-08 14:45:48,10,1,1,8,3,31,2,14.879845999999999,13.310232000000001,31.0,2,19.04646933755509,10.821128567541619,True,0,4.853492138093441
Test27807,2019-03-08 14:46:14,10,1,1,8,3,31,2,14.879845999999999,13.310232000000001,31.0,2,17.260046282949972,12.041935936082231,True,0,2.6970221157240144
Test90294,2019-03-08 14:46:36,10,1,1,8,3,31,2,14.879845999999999,13.310232000000001,31.0,2,19.04646934239767,10.821128574697731,True,0,4.853492138580699
Test56086,2019-03-08 14:47:15,10,1,1,8,3,31,2,23.071236,13.791104,31.0,2,29.411535267020216,16.081512813406185,True,0,6.741317922180041
Test75282,2019-03-08 14:47:36,10,1,1,8,3,31,2,23.071236,13.791104,31.0,2,21.531743179338466,11.559775971447419,True,0,2.7108786243343235
Test41126,2019-03-08 14:47:58,10,1,1,8,3,31,2,23.071236,13.791104,31.0,2,29.20186149844578,20.359222027002826,True,0,8.98469495413356
