testid,timestamp,interval,loc_alg,floor_alg,bin_strat,top_n,building_true,floor_true,x_true,y_true,building_est,floor_est,x_est,y_est,building_error,floor_error,xy_error
Test96786,2019-01-18 17:54:30,5,2,1,6,3,31,1,0.841197,33.400914,31.0,1,7.194761522376862,28.393891601309583,True,0,8.089379175251551
Test23667,2019-01-18 18:25:25,5,2,1,6,3,31,1,15.864222,17.811294,31.0,1,16.64845364113411,20.640270781246087,True,0,2.9356649835744837
Test30680,2019-01-24 02:07:07,5,2,1,6,3,31,1,15.6973,18.69581,31.0,1,16.404906541127563,14.848791579408267,True,0,3.9115543899348544
Test5444,2019-01-24 02:09:21,5,2,1,6,3,31,1,12.859617,8.579143,31.0,1,9.355883510821238,12.313598452594205,True,0,5.120772001427457
Test11881,2019-01-24 02:11:14,5,2,1,6,3,31,1,4.0127239999999995,0.6184839999999999,31.0,1,13.830481654580758,11.6604852183432,True,0,14.77545790390172
Test12599,2019-01-24 02:13:35,5,2,1,6,3,31,1,28.717257,9.90592,31.0,1,24.63619761396437,9.02997460299613,True,0,4.174005995549333
Test57257,2019-01-24 02:15:23,5,2,1,6,3,31,1,27.548797999999998,34.119584,31.0,1,29.451063338623808,36.284685246026136,True,0,2.882061211021284
Test13177,2019-01-24 02:17:15,5,2,1,6,3,31,1,28.550332,53.800096999999994,31.0,1,21.057952310754263,52.19259554124381,True,0,7.662885510545313
Test52481,2019-01-24 02:18:42,5,2,1,6,3,31,1,24.210347,54.795178,31.0,1,28.21382129721656,54.54835388582192,True,0,4.01107573997468
Test68842,2019-01-24 02:19:49,5,2,1,6,3,31,1,18.534983,49.156381,31.0,1,20.261458619729478,51.645505860061675,True,0,3.029267342856573
Test21017,2019-01-24 02:20:49,5,2,1,6,3,31,1,18.368059,56.287802,31.0,1,8.836315341867559,50.09627449114528,True,0,11.366140508424692
Test53151,2019-01-24 02:21:57,5,2,1,6,3,31,1,17.867292000000003,43.020041,31.0,1,8.836315341867559,50.09627449114528,True,0,11.473082402778216
Test66766,2019-01-24 02:23:24,5,2,1,6,3,31,1,10.355779,62.313577,31.0,1,11.845505240884604,57.80099216844742,True,0,4.75212648555766
Test70090,2019-01-24 02:24:55,5,2,1,6,3,31,1,9.0204,43.572864,31.0,1,8.05061124340912,47.50683150023746,True,0,4.051739197595847
Test73394,2019-01-24 02:27:09,5,2,1,6,3,31,1,13.193462,30.636796999999998,31.0,1,10.803978893007473,29.784798662330044,True,0,2.5368347770391013
Test35814,2019-01-24 02:28:49,5,2,1,6,3,31,1,13.360384,38.708017,31.0,1,10.803978888244,29.78479866038909,True,0,9.282189000003214
Test86088,2019-01-24 02:30:10,5,2,1,6,3,31,1,4.34657,33.732607,31.0,1,11.26837158096412,28.72662703786973,True,0,8.542316577339381
Test15800,2019-01-24 02:32:05,5,2,1,6,3,31,1,7.017328999999999,22.344445999999998,31.0,1,8.80274140113006,22.64884159189335,True,0,1.81117478959738
Test88279,2019-01-24 02:33:45,5,2,1,6,3,31,1,13.69423,19.690895,31.0,1,16.64845355027541,20.640270919653442,True,0,3.1030229489676135
Test62496,2019-02-13 22:40:56,5,2,1,6,3,31,1,15.196532999999999,16.373955,31.0,1,21.939219458518725,21.145721452558345,True,0,8.260361720630222
Test50153,2019-02-13 22:42:18,5,2,1,6,3,31,1,15.196532999999999,16.373955,31.0,1,21.939219380176393,21.145721377975963,True,0,8.260361613597683
Test34588,2019-02-13 22:44:12,5,2,1,6,3,31,1,22.874968,15.931693,31.0,1,16.404906185962254,14.848791175298517,True,0,6.5600591643224675
Test70194,2019-02-13 22:44:25,5,2,1,6,3,31,1,22.874968,15.931693,31.0,1,17.2008964977617,11.909082006240899,True,0,6.9553207416785865
Test25075,2019-02-13 22:46:29,5,2,1,6,3,31,1,17.533447,24.500456,31.0,1,9.682286877015686,15.13287247162337,True,0,12.222615777232473
Test20212,2019-02-13 22:46:49,5,2,1,6,3,31,1,17.533447,24.500456,31.0,1,9.682286910620666,15.13287249090762,True,0,12.222615740866699
Test58570,2019-02-13 22:48:53,5,2,1,6,3,31,1,27.048032,27.319857,31.0,1,25.59046635958943,29.98963574798759,True,0,3.0417455776760267
Test62785,2019-02-13 22:49:11,5,2,1,6,3,31,1,27.048032,27.319857,31.0,1,24.43015796319104,28.647901960395945,True,0,2.9354672352849573
Test34974,2019-02-13 22:51:47,5,2,1,6,3,31,1,28.550332,39.592535,31.0,1,29.2727914803645,36.45822205098177,True,0,3.2164989294498296
Test90517,2019-02-13 22:52:01,5,2,1,6,3,31,1,28.550332,39.592535,31.0,1,28.78370188118899,36.83885786563654,True,0,2.7635483100105747
Test20190,2019-02-13 22:54:08,5,2,1,6,3,31,1,28.383409999999998,50.151462,31.0,1,29.426282240125563,46.59661025364729,True,0,3.704666442174171
Test29812,2019-02-13 22:54:20,5,2,1,6,3,31,1,28.383409999999998,50.151462,31.0,1,29.18504266324976,47.677188260261175,True,0,2.600893205410416
