testid,duration,top_n_beacons,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"314",10,1,"Building",2,27.7512466929,52.9957577633,2,28.35168916915627,50.58570129830114,2.483727708863345,0
"315",10,1,"Building",0,28.235846582,35.5951202436,0,26.11949291915238,37.05337455108424,2.5701086458640003,0
"316",10,1,"Building",2,27.7016405859,46.324726442,2,25.995737201876537,37.191961062158164,9.290721707104368,0
"317",10,1,"Building",2,27.9021953829,39.1067143171,2,28.050857169947534,35.89904962315257,3.2111077708051186,0
"318",10,1,"Building",0,31.3000519989,33.8670601127,0,27.745010053631443,37.677225060580675,5.211111221484086,0
"321",10,1,"Building",0,22.9716988027,27.5439314627,0,28.05354777661039,32.97784414702953,7.439932530241885,0
"322",10,1,"Building",2,27.9523336706,29.2320727314,2,25.995737201876537,37.191961062158164,8.196834265712656,0
"325",10,1,"Building",2,35.7238171017,27.0766943831,1,27.85904754896877,28.776569568446316,8.046376561118946,1
"327",10,1,"Building",0,24.307378019,22.9095886419,0,18.269902580836966,24.75264406917733,6.312524294958266,0
"329",10,1,"Building",0,17.9825440131,22.7524923495,0,7.71642150421027,30.416081750214484,12.81108402401123,0
"333",10,1,"Building",2,7.73432111898,14.1968935699,2,11.15477379367805,12.526937616733111,3.8063433089208574,0
"335",10,1,"Building",2,7.6494341693,19.4796789237,2,7.394375379974956,15.634692255626781,3.8534370974070344,0
"336",10,1,"Building",2,2.49255437632,17.1034864242,2,18.57528700271626,15.484318795037854,16.16403391927514,0
"338",10,1,"Building",0,9.15574435206,24.2449074932,0,9.029534956431243,21.686295943303257,2.56172244296879,0
"339",10,1,"Building",0,0.316690634106,31.6284370771,0,9.42472361255051,32.39562546900241,9.140286798842945,0
"340",10,1,"Building",2,0.0,41.6294754392,2,7.744691348607911,43.116860346993484,7.886225836807747,0
"341",10,1,"Building",2,7.8599899416,47.554094043,2,7.594275544016241,50.334872401434666,2.7934445438959226,0
