testid,duration,top_n_beacons,algorithm,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"Test12418",10,3,2,"AM",1,3.594801226538799,56.88285995825111,1,6.1563855542458725,60.35078702081217,4.311407238848806,0
"Test16545",10,3,2,"AM",1,4.308557968378728,49.750827094942125,1,6.0591935466518505,42.85906489607548,7.1106336661118235,0
"Test70565",5,3,2,"AM",1,4.308557968378728,49.51309274392676,1,6.542364848345591,34.33430426917095,15.34227860320517,0
"Test50294",5,3,2,"AM",1,7.877342455798169,41.19239045838931,1,12.340815033170275,36.17745173307568,6.713583087115488,0
"Test40075",10,3,2,"AM",1,7.639423541851525,40.716921756358595,1,11.775261127339872,38.58562986239572,4.652693593050152,0
"Test79839",5,3,2,"AM",1,5.260234013275198,37.3886377316792,1,12.540365619657695,35.90272934752794,7.430224756515808,0
"Test84117",5,3,2,"AM",1,5.260234013275198,31.445280511527507,1,7.834400063459796,34.19979980870386,3.770107082357194,0
"Test8205",10,3,2,"AM",1,5.260234013275198,31.68301330731065,1,9.422975878469591,31.381094546462904,4.173676409880614,0
"Test70869",10,3,2,"AM",1,1.6914495258557574,62.58848554904381,1,6.037363220262071,61.080281456152356,4.600178847071368,0
"Test79992",10,3,2,"AM",1,1.2156115034075219,66.39223574850158,1,3.39796348530474,65.5875846979362,2.325967215174515,0
"Test37993",5,3,2,"AM",1,9.304855939478026,59.497938597036125,1,19.209803566148956,64.5563929838644,11.121868020738077,0
"Test34350",5,3,2,"AM",1,0.26393565306600075,11.951057507339483,1,2.1539647614668023,17.91132454043606,6.252758842016873,0
"Test66732",5,3,2,"AM",1,6.687747886064955,9.335978090938358,1,2.1539647614668023,17.91132454043606,9.700090522763373,0
"Test67062",5,3,2,"AM",1,6.449828972118311,15.517074327802032,1,13.240397056548813,11.830904193609246,7.726555841220653,0
"Test92679",5,3,2,"AM",1,14.06323499663068,9.573717107650348,1,11.303290343343312,11.250029354814082,3.2291356798996014,0
"Test85276",5,3,2,"AM",1,16.44242569253671,14.328404127957462,1,14.683211971587967,32.24080485889462,17.998581412479496,0
"Test44416",5,3,2,"AM",1,12.635721512950822,13.37746672389604,1,20.732708194008474,16.13746481730107,8.554459818645734,0
"Test96786",5,3,2,"SB",1,0.841197,33.400914,1,7.78653822410934,29.812377287966946,7.817631383796606,0
"Test23667",5,3,2,"SB",1,15.864222,17.811294,1,17.64023288296971,20.0592236346136,2.8648564184965486,0
"Test54312",5,3,2,"AM",1,3.441853,57.477196,1,6.542364848345591,34.33430426917095,23.349659770253766,0
"Test67455",5,3,2,"AM",1,3.936385,57.477196,1,15.118013458553698,59.36796256252724,11.340362127335663,0
"FAKE_TEST",5,3,2,"Building",1,1234.0,1234.0,1,21.65049140084156,16.63754761391204,1718.0694606098123,0
"FAKE_TEST_2",5,3,2,"SB",1,0.0,0.0,1,21.65049140084156,16.63754761391204,27.30479387402704,0
"FAKE_TEST_3",5,3,2,"SB",1,0.0,0.0,1,21.650491423816003,16.63754760755086,27.304793888367875,0
"Test37317",3,3,2,"SB",1,15.6973,18.69581,1,8.872719697712935,19.35653635438732,6.856490036290184,0
"Test30680",5,3,2,"SB",1,15.6973,18.69581,1,17.199327250129926,15.842635299796804,3.2243901330348463,0
"Test3673",10,3,2,"SB",1,15.6973,18.69581,1,17.640232910008727,20.059223597291115,2.3735806137717916,0
"Test97265",10,3,2,"SB",1,12.859617,8.579143,1,12.423798072201613,9.92833413339732,1.417834564490963,0
"Test5444",5,3,2,"SB",1,12.859617,8.579143,1,12.423798072201613,9.92833413339732,1.417834564490963,0
"Test57831",3,3,2,"SB",1,12.859617,8.579143,1,12.423798072201613,9.92833413339732,1.417834564490963,0
"Test48762",2,3,2,"SB",1,4.680414,8.579143,1,12.423798072201613,9.92833413339732,7.860045394529448,0
"Test62912",3,3,2,"SB",1,4.680414,8.579143,1,12.423797849800891,9.928334308937822,7.86004520556152,0
"Test43488",2,3,2,"SB",1,4.012724,0.618484,1,18.756955276914585,17.74848568209977,22.60153343416962,0
"Test82603",3,3,2,"SB",1,4.012724,0.618484,1,12.423797849800891,9.928334308937822,12.546691838155349,0
"Test11881",5,3,2,"SB",1,4.012724,0.618484,1,12.423798072201613,9.92833413339732,12.546691856994828,0
"Test50448",10,3,2,"SB",1,4.012724,0.618484,1,12.423798072201613,9.92833413339732,12.546691856994828,0
"Test56319",10,3,2,"SB",1,28.717257,9.90592,1,19.90119434219679,8.405080489100248,8.942901096612331,0
"Test12599",5,3,2,"SB",1,28.717257,9.90592,1,27.083839392625542,11.323250688230141,2.162609386801006,0
"Test81912",3,3,2,"SB",1,28.717257,9.90592,1,27.083839395490664,11.323250693233005,2.162609387915758,0
"Test62385",2,3,2,"SB",1,28.717257,9.90592,1,27.497557681663537,11.825575905200052,2.274366993587417,0
"Test94942",2,3,2,"SB",1,27.548798,34.119584,1,27.377723010951062,26.467628754306478,7.6538673710729235,0
"Test12935",3,3,2,"SB",1,27.548798,34.119584,1,29.443942099003127,36.11459999989407,2.751664949774897,0
"Test57257",5,3,2,"SB",1,27.548798,34.119584,1,29.30253740371808,36.095551209504606,2.6419781053579627,0
"Test8527",10,3,2,"SB",1,27.548798,34.119584,1,29.234089430785875,25.883223817675677,8.407011137119893,0
"Test13139",10,3,2,"SB",1,28.550332,53.800097,1,28.094802632368562,54.963786417221314,1.2496719827729106,0
"Test13177",5,3,2,"SB",1,28.550332,53.800097,1,19.468237336523273,52.20353723402353,9.221358173430165,0
"Test52854",3,3,2,"SB",1,28.550332,53.800097,1,27.67260356742606,37.817592730597624,16.00658770390535,0
"Test79360",2,3,2,"SB",1,28.550332,53.800097,1,29.44838719988494,47.890042414538414,5.977896648920581,0
"Test37077",2,3,2,"SB",1,24.210347,54.795178,1,27.714298648039623,55.13445336080603,3.520338751064968,0
"Test13666",3,3,2,"SB",1,24.210347,54.795178,1,16.28948088171561,55.421454679411205,7.945586356145149,0
"Test52481",5,3,2,"SB",1,24.210347,54.795178,1,28.094802632368562,54.963786417221314,3.888113213140499,0
"Test30022",10,3,2,"SB",1,24.210347,54.795178,1,28.094806314458566,54.96378833613529,3.8881169749810223,0
"Test37479",10,3,2,"SB",1,18.534983,49.156381,1,20.406344312725555,45.607723317197205,4.011853002352059,0
"Test68842",5,3,2,"SB",1,18.534983,49.156381,1,16.343062918234235,51.72750107817754,3.378634650455077,0
"Test53054",3,3,2,"SB",1,18.534983,49.156381,1,25.483515909076445,39.30096998960595,12.058658124862593,0
"Test67831",2,3,2,"SB",1,18.534983,49.156381,1,16.289480845442863,55.421454682537025,6.655330808738116,0
"Test7174",2,3,2,"SB",1,18.368059,56.287802,1,18.570955842169713,43.469813097403,12.819594636167803,0
