major,minor,rssi,testid,t_floor,t_x,t_y,bt_floor,bt_x,bt_Y,deployid,watt,proximity
101,145,-56.3289918446,317,2,27.9021953829,39.1067143171,2,28.0508562441,35.899050609,43,2.328631755e-06,3
101,181,-60.4262137998,317,2,27.9021953829,39.1067143171,2,25.9957380122,37.1919604126,58,9.06522567244e-07,7
101,195,-64.2816903595,317,2,27.9021953829,39.1067143171,2,28.2514109496,43.2173130662,42,3.73104909765e-07,7
101,205,-65.4668308295,317,2,27.9021953829,39.1067143171,1,26.0969946416,37.018767846,39,2.83999069454e-07,7
101,156,-68.5471589218,317,2,27.9021953829,39.1067143171,2,24.3411640007,31.8285761878,56,1.39728213958e-07,7
101,163,-71.8284360211,317,2,27.9021953829,39.1067143171,2,28.2012726619,22.9166535704,44,6.56381599527e-08,15
101,125,-73.1332863781,317,2,27.9021953829,39.1067143171,1,28.0346166835,43.2672430536,23,4.86039272554e-08,15
101,182,-75.3200760204,317,2,27.9021953829,39.1067143171,1,27.9288969593,51.3350420929,22,2.9375982308e-08,15
101,160,-76.0016075279,317,2,27.9021953829,39.1067143171,1,27.8590484144,28.7765687751,24,2.51095683636e-08,15
101,170,-76.3315011155,317,2,27.9021953829,39.1067143171,2,28.3516883481,50.5857000951,41,2.32728670453e-08,15
101,148,-78.1427210416,317,2,27.9021953829,39.1067143171,2,28.2520373136,15.4843176138,45,1.53365578043e-08,15
101,167,-81.7459501157,317,2,27.9021953829,39.1067143171,1,23.1016394277,24.4784397593,25,6.68967452541e-09,15
101,166,-81.9172093175,317,2,27.9021953829,39.1067143171,2,24.4408774887,53.4428297631,40,6.43100827263e-09,15
101,126,-85.7369002351,317,2,27.9021953829,39.1067143171,2,11.1045730971,31.92882652,57,2.66876280698e-09,15
101,115,-86.053795803,317,2,27.9021953829,39.1067143171,2,7.59493346216,36.386477457,51,2.48096375555e-09,15
101,152,-88.4783362196,317,2,27.9021953829,39.1067143171,2,24.5919195389,12.6271879458,46,1.4196012662e-09,15
101,119,-91.226450338,317,2,27.9021953829,39.1067143171,2,9.60041468039,37.2922101962,59,7.53971562987e-10,15
101,191,-91.3741592308,317,2,27.9021953829,39.1067143171,2,18.0732435291,50.3849976226,55,7.2875924447e-10,15
101,118,-91.746884699,317,2,27.9021953829,39.1067143171,0,26.1194933615,37.0533749589,19,6.68823509075e-10,15
101,121,-92.0,317,2,27.9021953829,39.1067143171,1,7.34823813414,47.4912410236,33,6.3095734448e-10,15
101,141,-92.816989476,317,2,27.9021953829,39.1067143171,0,22.392288987,35.1902750515,20,5.22758438938e-10,15
101,116,-93.5700744776,317,2,27.9021953829,39.1067143171,1,25.0733447227,65.330325374,36,4.39534077757e-10,15
101,132,-93.7557595587,317,2,27.9021953829,39.1067143171,0,28.0535479633,32.9778441801,9,4.21137625505e-10,15
101,174,-94.0,317,2,27.9021953829,39.1067143171,1,12.5296199144,15.9174132844,27,3.98107170553e-10,15
101,168,-94.5128869618,317,2,27.9021953829,39.1067143171,1,9.71041452799,37.0909813036,31,3.53762100424e-10,15
101,161,-94.9084604784,317,2,27.9021953829,39.1067143171,1,8.01889153388,26.7331959193,29,3.22963878685e-10,15
101,155,-95.0,317,2,27.9021953829,39.1067143171,2,7.74469114617,43.1168603772,52,3.16227766017e-10,15
101,138,-95.4712810462,317,2,27.9021953829,39.1067143171,2,18.5752876093,15.4843176138,47,2.83708204584e-10,15
101,128,-96.4712810462,317,2,27.9021953829,39.1067143171,0,26.2308298789,29.7590456408,2,2.25357437324e-10,15
101,175,-96.8858739287,317,2,27.9021953829,39.1067143171,2,11.0037002414,53.292252411,54,2.04838981199e-10,15
101,202,-97.0,317,2,27.9021953829,39.1067143171,2,7.59427545994,50.3348724107,53,1.99526231497e-10,15
