testid,duration,top_n_beacons,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"314",10,1,"Building",2,27.7512466929,52.9957577633,2,28.351672252673296,50.58570464463543,2.4837203722669545,0
"315",10,1,"Building",0,28.235846582,35.5951202436,0,26.119475731271947,37.053369311217324,2.5701198261984164,0
"316",10,1,"Building",2,27.7016405859,46.324726442,2,25.995721700558025,37.19195288057871,9.290732595848516,0
"317",10,1,"Building",2,27.9021953829,39.1067143171,2,28.050855017816737,35.89905186655399,3.2111054301745394,0
"318",10,1,"Building",0,31.3000519989,33.8670601127,0,27.74500507907021,37.677219473235105,5.211110529902866,0
"321",10,1,"Building",0,22.9716988027,27.5439314627,0,28.0535486256876,32.97784618909394,7.4399346016695596,0
"322",10,1,"Building",2,27.9523336706,29.2320727314,2,25.995721700558025,37.19195288057871,8.196830020843477,0
"325",10,1,"Building",2,35.7238171017,27.0766943831,1,27.859049033543094,28.776567187326854,8.04637460701716,1
"327",10,1,"Building",0,24.307378019,22.9095886419,0,18.26990501369462,24.75264628261743,6.3125226143593425,0
"329",10,1,"Building",0,17.9825440131,22.7524923495,0,7.716422305282396,30.416084857074928,12.811085240598567,0
"333",10,1,"Building",2,7.73432111898,14.1968935699,2,11.154776306968985,12.526940396166522,3.8063443479936607,0
"335",10,1,"Building",2,7.6494341693,19.4796789237,2,7.394380166880561,15.634694059811554,3.8534349803365595,0
"336",10,1,"Building",2,2.49255437632,17.1034864242,2,18.575288329391167,15.484316788144287,16.164035440309853,0
"338",10,1,"Building",0,9.15574435206,24.2449074932,0,9.029567765338012,21.686289932179406,2.5617268305968497,0
"339",10,1,"Building",0,0.316690634106,31.6284370771,0,9.424724494774605,32.39562914280129,9.140287986314265,0
"340",10,1,"Building",2,0.0,41.6294754392,2,7.744690332647186,43.11686260524858,7.88622526500003,0
"341",10,1,"Building",2,7.8599899416,47.554094043,2,7.59429581174605,50.334855883895486,2.79342617343278,0
"342",10,1,"Building",2,7.3718902781,52.0094549567,2,7.59429581174605,50.334855883895486,1.6893034884336542,0
"343",10,1,"Building",0,8.37005020056,42.075345186,0,9.58002237394528,41.05128104227011,1.585162461970358,0
"344",10,1,"Building",2,9.57894968971,52.7095833994,2,11.003843674135647,53.29222609194538,1.539413970973669,0
"345",10,1,"Building",0,9.78429905146,38.5406772351,0,7.677537178643008,37.635578193694734,2.2929565768910862,0
"346",10,1,"Building",2,20.5731416345,53.1617040758,2,24.440880453144967,53.44282638129744,3.87794189228015,0
"347",10,1,"Building",0,9.98072222358,32.5317407127,0,9.424724494774605,32.39562914280129,0.5724157876029015,0
"348",10,1,"Building",2,19.783332043,39.1103600297,2,28.050855017816737,35.89905186655399,8.869297393695328,0
"314",10,2,"Building",2,27.7512466929,52.9957577633,2,26.396358396737785,52.01425025320399,1.6730449149536357,0
"315",10,2,"Building",0,28.235846582,35.5951202436,0,26.93227235906177,37.36528561620647,2.1983610261019497,0
"316",10,2,"Building",2,27.7016405859,46.324726442,2,27.17374652070199,43.888967617532906,2.4923068019488697,0
"317",10,2,"Building",2,27.9021953829,39.1067143171,2,27.02340599397445,36.54565063985716,2.7076406609778876,0
"318",10,2,"Building",0,31.3000519989,33.8670601127,0,27.899505079634178,35.32755456613179,3.700913859931527,0
"321",10,2,"Building",0,22.9716988027,27.5439314627,0,27.938298946402103,29.93231670310015,5.511034480384152,0
