major,minor,rssi,testid,t_floor,t_x,t_y,bt_floor,bt_x,bt_Y,deployid,watt,proximity
101,139,-60.2342097533,329,0,17.9825440131,22.7524923495,0,7.71642155667,30.416081979,14,9.47499576814e-07,7
101,143,-62.3074755952,329,0,17.9825440131,22.7524923495,0,18.2699028907,24.7526442618,6,5.87830939197e-07,7
101,179,-65.2535200345,329,0,17.9825440131,22.7524923495,0,13.2226465783,22.6178422904,7,2.98296389321e-07,7
101,197,-65.9220622161,329,0,17.9825440131,22.7524923495,0,9.02954197705,21.6862928396,8,2.5573712492e-07,7
101,186,-66.9377009047,329,0,17.9825440131,22.7524923495,0,8.22114748052,26.6898825301,11,2.02409042074e-07,7
101,188,-70.8903360075,329,0,17.9825440131,22.7524923495,0,27.822657033,26.8867671999,3,8.14641253934e-08,15
101,180,-77.2262326834,329,0,17.9825440131,22.7524923495,0,27.1626309726,22.5783486241,4,1.893985857e-08,15
101,146,-79.6023898631,329,0,17.9825440131,22.7524923495,0,9.42472360737,32.3956255105,15,1.09587498519e-08,15
101,132,-80.0170545995,329,0,17.9825440131,22.7524923495,0,28.0535479633,32.9778441801,9,9.96080733798e-09,15
101,118,-82.5537202993,329,0,17.9825440131,22.7524923495,0,26.1194933615,37.0533749589,19,5.5542825659e-09,15
101,196,-82.6351559544,329,0,17.9825440131,22.7524923495,0,7.67759649968,37.6355936285,17,5.45110320516e-09,15
101,149,-84.4149580589,329,0,17.9825440131,22.7524923495,0,9.58002374392,41.0512763804,16,3.61829685008e-09,15
101,174,-85.5302870185,329,0,17.9825440131,22.7524923495,1,12.5296199144,15.9174132844,27,2.7987963454e-09,15
101,190,-85.8398297759,329,0,17.9825440131,22.7524923495,0,27.7450070104,37.6772194926,1,2.60625570163e-09,15
101,128,-87.5490195999,329,0,17.9825440131,22.7524923495,0,26.2308298789,29.7590456408,2,1.75832050206e-09,15
101,141,-88.9456185523,329,0,17.9825440131,22.7524923495,0,22.392288987,35.1902750515,20,1.27478852281e-09,15
101,184,-91.5700744776,329,0,17.9825440131,22.7524923495,0,8.68704761585,43.0308200034,18,6.96614567692e-10,15
101,161,-91.5871392183,329,0,17.9825440131,22.7524923495,1,8.01889153388,26.7331959193,29,6.93882729469e-10,15
101,176,-92.2276309521,329,0,17.9825440131,22.7524923495,0,7.40582137501,13.2212238634,10,5.98738113702e-10,15
101,160,-96.0,329,0,17.9825440131,22.7524923495,1,27.8590484144,28.7765687751,24,2.51188643151e-10,15
101,167,-96.0,329,0,17.9825440131,22.7524923495,1,23.1016394277,24.4784397593,25,2.51188643151e-10,15
101,144,-96.0370720196,329,0,17.9825440131,22.7524923495,1,12.4591398849,24.5489010436,28,2.49053585277e-10,15
101,138,-98.0,329,0,17.9825440131,22.7524923495,2,18.5752876093,15.4843176138,47,1.58489319246e-10,15
