testid,timestamp,interval,loc_alg,floor_alg,bin_strat,top_n,building_true,floor_true,x_true,y_true,building_est,floor_est,x_est,y_est,building_error,floor_error,xy_error
Test61695,2019-02-13 22:58:23,3,2,1,2,3,31,1,22.708046,61.926601,31.0,1,17.0620759960467,67.1893059979749,True,0,7.718357414712693
Test18722,2019-01-24 02:27:30,10,2,1,2,3,31,1,13.193462,30.636796999999998,31.0,1,-0.40466002864062317,28.72792669404534,True,0,13.731449615781898
Test99241,2019-02-13 22:48:31,3,2,1,2,3,31,1,27.048032,27.319857,31.0,1,23.863472913105856,27.64345800585736,True,0,3.2009583235199983
Test61066,2019-02-13 22:51:30,3,2,1,2,3,31,1,28.550332,39.592535,31.0,1,22.90010755053835,36.81863879012369,True,0,6.29440517542844
Test92522,2019-04-03 22:36:54,5,2,1,2,3,31,1,8.853477,44.733794,31.0,1,14.130833829859668,35.75206430030399,True,0,10.417387556775829
Test58570,2019-02-13 22:48:53,5,2,1,2,3,31,1,27.048032,27.319857,31.0,1,19.454768923390784,28.814297436747136,True,0,7.738927339727504
Test47038,2019-02-13 23:05:18,5,2,1,2,3,31,1,10.522703,36.552008,31.0,1,-0.40466002200638296,28.72792668625757,True,0,13.43962466063565
Test12112,2019-01-24 02:29:58,3,2,1,2,3,31,1,4.34657,33.732607,31.0,1,17.40221817809321,21.290647363993262,True,0,18.034752810453753
Test20202,2019-02-13 22:57:36,10,2,1,2,3,31,1,22.708046,61.926601,31.0,1,20.925669573507292,55.467168308947116,True,0,6.700831024280466
Test7174,2019-01-24 02:20:32,2,2,1,2,3,31,1,18.368059,56.287802,31.0,1,18.27856883236251,43.91684152054578,True,0,12.371284156235436
Test96257,2019-02-13 22:53:18,10,2,1,2,3,31,1,28.383409999999998,50.151462,31.0,1,29.379568628601017,31.99822530996688,True,0,18.18054824084524
Test57257,2019-01-24 02:15:23,5,2,1,2,3,31,1,27.548797999999998,34.119584,31.0,1,22.90010754560063,36.818638787700365,True,0,5.375427395829289
Test25447,2019-04-03 22:40:39,10,2,1,2,3,31,1,10.188857,63.585071,31.0,1,16.987639612180107,60.544825689120195,True,0,7.447585955060149
Test79360,2019-01-24 02:17:39,2,2,1,2,3,31,1,28.550332,53.800096999999994,31.0,1,21.358051410199195,46.75178963983612,True,0,10.070130918998307
Test1254,2019-02-20 23:11:58,5,2,1,2,3,31,1,14.862687,18.142986999999998,31.0,1,9.634956979741549,19.05386421096803,True,0,5.306492104787523
Test61358,2019-01-24 02:33:23,2,2,1,2,3,31,1,13.69423,19.690895,31.0,1,17.487012855013713,14.672867366161666,True,0,6.290135381631395
Test44031,2019-02-13 22:52:27,10,2,1,2,3,31,1,28.550332,39.592535,31.0,1,22.900107547491032,36.81863878687028,True,0,6.2944051795976454
Test15800,2019-01-24 02:32:05,5,2,1,2,3,31,1,7.017328999999999,22.344445999999998,31.0,1,9.634956976689192,19.05386421492789,True,0,4.204747876935583
Test64580,2019-04-03 22:36:30,2,2,1,2,3,31,1,8.853477,44.733794,31.0,1,14.122357070900957,35.41401944014767,True,0,10.706040119857951
Test18232,2019-01-24 02:25:17,2,2,1,2,3,31,1,9.0204,43.572864,31.0,1,7.757839986428008,44.67274471652705,True,0,1.6744537552464558
Test61695,2019-02-13 22:58:23,3,2,1,3,3,31,1,22.708046,61.926601,31.0,1,17.0620759960467,67.1893059979749,True,0,7.718357414712693
Test18722,2019-01-24 02:27:30,10,2,1,3,3,31,1,13.193462,30.636796999999998,31.0,1,6.880497517990302,23.733570157305635,True,0,9.354574356581487
