testid,timestamp,interval,loc_alg,floor_alg,bin_strat,top_n,building_true,floor_true,x_true,y_true,building_est,floor_est,x_est,y_est,building_error,floor_error,xy_error
Test3673,2019-01-24 02:07:31,10,2,1,5,3,31,1,15.6973,18.69581,31.0,1,25.94200401176504,26.41668268036949,True,0,12.82832160631899
Test97265,2019-01-24 02:09:02,10,2,1,5,3,31,1,12.859617,8.579143,31.0,1,7.117459148756206,9.8308864176678,True,0,5.8770093051036945
Test50448,2019-01-24 02:11:31,10,2,1,5,3,31,1,4.0127239999999995,0.6184839999999999,31.0,1,13.033479770102579,10.705337053131442,True,0,13.532133578239097
Test56319,2019-01-24 02:13:13,10,2,1,5,3,31,1,28.717257,9.90592,31.0,1,19.862280155755645,8.288159406630918,True,0,9.001542326155091
Test8527,2019-01-24 02:15:45,10,2,1,5,3,31,1,27.548797999999998,34.119584,31.0,1,25.872704524550315,29.989040558031032,True,0,4.457653919321
Test13139,2019-01-24 02:16:52,10,2,1,5,3,31,1,28.550332,53.800096999999994,31.0,1,27.556436086649025,55.306274756255064,True,0,1.8045499494370687
Test30022,2019-01-24 02:18:59,10,2,1,5,3,31,1,24.210347,54.795178,31.0,1,26.609032937914368,55.06161487010229,True,0,2.4134379698881925
Test37479,2019-01-24 02:19:31,10,2,1,5,3,31,1,18.534983,49.156381,31.0,1,19.73368555317628,45.11879066877357,True,0,4.211772013512188
Test87030,2019-01-24 02:21:11,10,2,1,5,3,31,1,18.368059,56.287802,31.0,1,1.7420975398076983,50.93511026877782,True,0,17.46636491217603
Test6781,2019-01-24 02:21:37,10,2,1,5,3,31,1,17.867292000000003,43.020041,31.0,1,17.32213136079331,50.228844760959284,True,0,7.229388064460295
Test23777,2019-01-24 02:23:45,10,2,1,5,3,31,1,10.355779,62.313577,31.0,1,16.89540028305515,62.88800616734999,True,0,6.564801245589258
Test86285,2019-01-24 02:24:35,10,2,1,5,3,31,1,9.0204,43.572864,31.0,1,5.496676516642807,39.92418993487384,True,0,5.072420489341085
Test18722,2019-01-24 02:27:30,10,2,1,5,3,31,1,13.193462,30.636796999999998,31.0,1,10.49143158058042,29.74688457668218,True,0,2.8448044763470377
Test78829,2019-01-24 02:28:25,10,2,1,5,3,31,1,13.360384,38.708017,31.0,1,18.481422642082958,30.663928370797766,True,0,9.535848082271839
Test60907,2019-01-24 02:30:28,10,2,1,5,3,31,1,4.34657,33.732607,31.0,1,10.491431580774126,29.74688457714712,True,0,7.324295671182734
Test6310,2019-01-24 02:31:43,10,2,1,5,3,31,1,7.017328999999999,22.344445999999998,31.0,1,9.362215950836747,16.985652242582887,True,0,5.849373072965774
Test36167,2019-01-24 02:34:05,10,2,1,5,3,31,1,13.69423,19.690895,31.0,1,18.26239236954497,19.61991873890921,True,0,4.568713720968423
Test42627,2019-02-13 22:41:19,10,2,1,5,3,31,1,15.196532999999999,16.373955,31.0,1,20.98748788110578,17.268490820529546,True,0,5.85963759708852
Test57096,2019-02-13 22:41:46,10,2,1,5,3,31,1,15.196532999999999,16.373955,31.0,1,10.910311668087212,23.067320759952754,True,0,7.9481342780964725
Test99148,2019-02-13 22:44:47,10,2,1,5,3,31,1,22.874968,15.931693,31.0,1,13.033479840742203,10.705336997200837,True,0,11.143145258714268
Test57613,2019-02-13 22:45:12,10,2,1,5,3,31,1,22.874968,15.931693,31.0,1,13.033479840742203,10.705336997200837,True,0,11.143145258714268
Test71012,2019-02-13 22:47:10,10,2,1,5,3,31,1,17.533447,24.500456,31.0,1,18.850293233083956,27.497056207141053,True,0,3.2731783946227577
Test47873,2019-02-13 22:49:32,10,2,1,5,3,31,1,27.048032,27.319857,31.0,1,29.30416914151952,22.156748494789273,True,0,5.6345225385939495
Test81299,2019-02-13 22:50:08,10,2,1,5,3,31,1,27.048032,27.319857,31.0,1,25.872704524550315,29.989040558031032,True,0,2.9164937066639003
Test44031,2019-02-13 22:52:27,10,2,1,5,3,31,1,28.550332,39.592535,31.0,1,29.4596498055374,36.3208546175967,True,0,3.3956960105506986
Test96257,2019-02-13 22:53:18,10,2,1,5,3,31,1,28.383409999999998,50.151462,31.0,1,29.469589551003182,47.710069984506674,True,0,2.672111709927572
Test33107,2019-02-13 22:53:45,10,2,1,5,3,31,1,28.383409999999998,50.151462,31.0,1,29.2915508070037,48.02233849597586,True,0,2.314710915154067
Test63717,2019-02-13 22:56:40,10,2,1,5,3,31,1,28.216488000000002,58.775507999999995,31.0,1,26.609032937914368,55.06161487010229,True,0,4.046839996457249
Test5270,2019-02-13 22:56:59,10,2,1,5,3,31,1,28.216488000000002,58.775507999999995,31.0,1,30.89820440455579,48.49943779227244,True,0,10.620227012103342
Test20202,2019-02-13 22:57:36,10,2,1,5,3,31,1,22.708046,61.926601,31.0,1,20.79597513129021,55.013309186703886,True,0,7.172838956979005
Test99541,2019-02-13 22:57:53,10,2,1,5,3,31,1,22.708046,61.926601,31.0,1,22.23008000198442,65.24158958262251,True,0,3.3492686960255424
Test10790,2019-02-13 22:59:49,10,2,1,5,3,31,1,16.364991,63.253377,31.0,1,11.559229807569551,58.340025935619266,True,0,6.8728712573801225
Test13099,2019-02-13 23:00:08,10,2,1,5,3,31,1,16.364991,63.253377,31.0,1,11.559229807569551,58.340025935619266,True,0,6.8728712573801225
Test50075,2019-02-13 23:00:39,10,2,1,5,3,31,1,9.187322,59.107201,31.0,1,11.559229793397584,58.3400258978515,True,0,2.4928907352182064
Test94635,2019-02-13 23:01:00,10,2,1,5,3,31,1,9.187322,59.107201,31.0,1,11.119170687771419,62.1632768665231,True,0,3.6154721758560164
Test88339,2019-02-13 23:03:36,10,2,1,5,3,31,1,9.0204,48.658838,31.0,1,8.00596214400045,43.09185199649383,True,0,5.65865861551292
Test50868,2019-02-13 23:04:30,10,2,1,5,3,31,1,10.522703,36.552008,31.0,1,10.491431576920036,29.746884575506037,True,0,6.805195274530915
Test7045,2019-02-13 23:04:52,10,2,1,5,3,31,1,10.522703,36.552008,31.0,1,10.491431576470461,29.746884574174562,True,0,6.805195275864443
Test5987,2019-02-13 23:07:35,10,2,1,5,3,31,1,9.354245,27.596269,31.0,1,10.491431576470461,29.746884574174562,True,0,2.432763995455948
Test2180,2019-03-08 14:38:41,10,2,1,5,3,31,2,9.900766,31.049160999999998,31.0,2,16.388391266739962,30.46088162093557,True,0,6.51424241408586
Test77066,2019-03-08 14:39:07,10,2,1,5,3,31,2,9.900766,31.049160999999998,31.0,2,11.046356876762523,29.353926181362823,True,0,2.0460204171125325
Test9473,2019-03-08 14:39:30,10,2,1,5,3,31,2,9.900766,31.049160999999998,31.0,1,10.491431576920036,29.746884575506037,True,1,1.4299684295644615
Test68121,2019-03-08 14:40:59,10,2,1,5,3,31,2,9.579535,17.638101000000002,31.0,2,8.143103201590735,37.637261848238744,True,0,20.050680061913276
Test99439,2019-03-08 14:41:32,10,2,1,5,3,31,2,9.579535,17.638101000000002,31.0,2,10.073742226398238,19.548313221052684,True,0,1.9731070706079936
Test15182,2019-03-08 14:41:54,10,2,1,5,3,31,2,9.579535,17.638101000000002,31.0,2,10.073742239901408,19.54831322575549,True,0,1.9731070785430525
Test98549,2019-03-08 14:45:48,10,2,1,5,3,31,2,14.879845999999999,13.310232000000001,31.0,2,15.77543134377057,14.213751105593314,True,0,1.2721713257846967
Test27807,2019-03-08 14:46:14,10,2,1,5,3,31,2,14.879845999999999,13.310232000000001,31.0,2,16.0930183820801,12.13931045933151,True,0,1.6860736884974452
Test90294,2019-03-08 14:46:36,10,2,1,5,3,31,2,14.879845999999999,13.310232000000001,31.0,2,15.775431338567778,14.213751117674938,True,0,1.2721713307026143
