testid,timestamp,interval,loc_alg,floor_alg,bin_strat,top_n,building_true,floor_true,x_true,y_true,building_est,floor_est,x_est,y_est,building_error,floor_error,xy_error
40.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
41.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
42.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
43.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
44.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
45.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
46.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
47.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
48.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
49.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
50.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
51.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
52.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
53.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
54.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
55.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
56.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
57.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
58.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
59.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,15.6973,18.69581,31.0,1,19.849351570002575,20.007364942039985,True,0,4.354274750856949
60.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,5.56308661896309,16.94656025523884,True,0,11.101937989588272
61.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,5.56308661896309,16.94656025523884,True,0,11.101937989588272
62.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,5.56308661896309,16.94656025523884,True,0,11.101937989588272
63.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,7.162690477414222,11.990619291284082,True,0,6.64026673332741
64.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,5.56308661896309,16.94656025523884,True,0,11.101937989588272
65.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,5.56308661896309,16.94656025523884,True,0,11.101937989588272
66.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,7.162690477414222,11.990619291284082,True,0,6.64026673332741
67.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,5.56308661896309,16.94656025523884,True,0,11.101937989588272
68.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,5.56308661896309,16.94656025523884,True,0,11.101937989588272
69.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,5.56308661896309,16.94656025523884,True,0,11.101937989588272
70.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,7.162690477414222,11.990619291284082,True,0,6.64026673332741
71.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,5.56308661896309,16.94656025523884,True,0,11.101937989588272
72.0,0000-01-01 00:00:00,0,2,1,2,3,31,1,12.859617,8.579143,31.0,1,7.162690477414222,11.990619291284082,True,0,6.64026673332741
