testid,beacon_major,beacon_minor,b_building,b_floor,b_x,b_y,rssi,duration,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"314",101,170,"Building",2,28.3516883481,50.5857000951,-57.8442964939,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,166,"Building",2,24.4408774887,53.4428297631,-60.49609566,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,181,"Building",2,25.9957380122,37.1919604126,-62.5890368971,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,195,"Building",2,28.2514109496,43.2173130662,-63.1980288176,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,182,"Building",1,27.9288969593,51.3350420929,-73.2902231829,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,116,"Building",1,25.0733447227,65.330325374,-73.3626423506,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,125,"Building",1,28.0346166835,43.2672430536,-73.4185457087,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,145,"Building",2,28.0508562441,35.899050609,-75.1943726131,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,148,"Building",2,28.2520373136,15.4843176138,-75.7426430633,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,175,"Building",2,11.0037002414,53.292252411,-76.9551333189,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,156,"Building",2,24.3411640007,31.8285761878,-77.9027561069,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,192,"Building",1,27.7174560478,59.1562272772,-79.6437556687,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,163,"Building",2,28.2012726619,22.9166535704,-80.7502307964,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,178,"Building",1,24.0513826947,59.7991270833,-82.6211003684,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,202,"Building",2,7.59427545994,50.3348724107,-84.7942805773,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,205,"Building",1,26.0969946416,37.018767846,-85.5413508997,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,152,"Building",2,24.5919195389,12.6271879458,-88.8623724452,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,167,"Building",1,23.1016394277,24.4784397593,-90.689636301,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,121,"Building",1,7.34823813414,47.4912410236,-90.8858739287,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,138,"Building",2,18.5752876093,15.4843176138,-90.8858739287,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,201,"Building",1,22.8197192182,15.8821826423,-91.0,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,160,"Building",1,27.8590484144,28.7765687751,-91.3516488033,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,155,"Building",2,7.74469114617,43.1168603772,-91.561043954,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,187,"Building",1,11.3297194926,60.0105103876,-92.395965825,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,126,"Building",2,11.1045730971,31.92882652,-94.4712810462,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,193,"Building",1,10.3077574646,65.330325374,-94.5541368933,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,119,"Building",2,9.60041468039,37.2922101962,-94.7717478574,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,158,"Building",1,7.27711189817,59.4115905683,-95.7545048312,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"314",101,115,"Building",2,7.59493346216,36.386477457,-96.3351090176,10,"Building",2,27.7512466929,52.9957577633,2,26.667174428962497,46.41480394007356,6.669645110264657,0
"315",101,118,"Building",0,26.1194933615,37.0533749589,-55.8129680344,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,190,"Building",0,27.7450070104,37.6772194926,-63.1938149173,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,132,"Building",0,28.0535479633,32.9778441801,-65.5345521001,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,180,"Building",0,27.1626309726,22.5783486241,-69.864138227,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
"315",101,188,"Building",0,27.822657033,26.8867671999,-74.5329761959,10,"Building",0,28.235846582,35.5951202436,0,26.622220184804636,35.333274757630996,1.6347333752780717,0
