testid,duration,top_n_beacons,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"Test12418",10,3,"AM",1,3.594801226538799,56.88285995825111,1,6.737295788256118,60.913881154208454,5.111203767477901,0
"Test16545",10,3,"AM",1,4.308557968378728,49.750827094942125,1,4.953463295597002,45.11733170479846,4.678160152405762,0
"Test70565",5,3,"AM",1,4.308557968378728,49.51309274392676,1,14.75823982508489,38.00849514235339,15.54193092509749,0
"Test50294",5,3,"AM",1,7.877342455798169,41.19239045838931,1,9.202451956257327,34.75512598164589,6.572236235236062,0
"Test40075",10,3,"AM",1,7.639423541851525,40.716921756358595,1,7.288949178538014,40.01324689427543,0.7861237757934608,0
"Test79839",5,3,"AM",1,5.260234013275198,37.3886377316792,1,8.505376631395212,32.44427399417832,5.914193383771998,0
"Test84117",5,3,"AM",1,5.260234013275198,31.445280511527507,1,9.338374594943375,30.920089089788902,4.111819139178748,0
"Test8205",10,3,"AM",1,5.260234013275198,31.68301330731065,1,9.338374627866019,30.920089079564573,4.14888952005921,0
"Test70869",10,3,"AM",1,1.6914495258557574,62.58848554904381,1,8.529260354483332,65.40170363775067,7.393906473760945,0
"Test79992",10,3,"AM",1,1.2156115034075219,66.39223574850158,1,4.111179341873069,68.50077244356842,3.5819324535227435,0
"Test37993",5,3,"AM",1,9.304855939478026,59.497938597036125,1,13.168342194842916,62.081239730067765,4.647576872878594,0
"Test34350",5,3,"AM",1,0.26393565306600075,11.951057507339483,1,2.642586444124184,14.870456032680606,3.7657492396023455,0
"Test66732",5,3,"AM",1,6.687747886064955,9.335978090938358,1,5.476954116040296,13.669577928351103,4.499567657492695,0
"Test67062",5,3,"AM",1,6.449828972118311,15.517074327802032,1,14.102420136490148,12.03918330617691,8.405824021910197,0
"Test92679",5,3,"AM",1,14.06323499663068,9.573717107650348,1,11.31796964414466,11.018025709442439,3.1020169555904786,0
"Test85276",5,3,"AM",1,16.44242569253671,14.328404127957462,1,17.822245036110413,30.37370173233448,16.104517274166497,0
"Test44416",5,3,"AM",1,12.635721512950822,13.37746672389604,1,20.569926083461304,16.07246315249178,8.379415726460481,0
"Test96786",5,3,"SB",1,0.841197,33.400914,1,7.987419688612445,34.861616585881976,7.293980446891915,0
"Test23667",5,3,"SB",1,15.864222,17.811294,1,17.506958361705276,20.18946020985624,2.890373207004708,0
